energy,rates,bin_width,error_up,error_down
5.25,94.6,0.5,15.8,15.0
5.75,75.2,0.5,9.8,9.4
6.25,55.9,0.5,7.0,6.6
6.75,51.3,0.5,3.9,3.7
7.25,55.9,0.5,3.7,3.5
7.75,39.9,0.5,3.2,3.0
8.25,37.5,0.5,2.8,2.6
8.75,28.7,0.5,2.4,2.2
9.25,20.0,0.5,1.9,1.8
9.75,18.0,0.5,1.8,1.6
10.25,15.2,0.5,1.5,1.4
10.75,15.2,0.5,1.5,1.3
11.25,9.67,0.5,1.21,1.07
11.75,5.33,0.5,0.92,0.78
12.25,4.20,0.5,0.81,0.68
12.75,2.74,0.5,0.63,0.50
13.25,1.63,0.5,0.49,0.36
13.75,1.17,0.5,0.40,0.28
14.50,2.08,1.0,0.53,0.41
15.50,0.394,1.0,0.298,0.164
18.00,0.252,4.0,0.245,0.121
