# Energy_bin_center(MeV),Event_rate(day^-1 21.5kt^-1 0.5MeV^-1),Statistical_error(day^-1 21.5kt^-1 0.5MeV^-1)
5.250000000000000000e+00,4.246986301369862993e+00,5.566438356164382650e-01
5.750000000000000000e+00,3.816986301369863277e+00,2.739041095890411004e-01
6.250000000000000000e+00,3.546027397260274050e+00,1.973287671232876461e-01
6.750000000000000000e+00,3.192602739726027483e+00,1.413698630136986378e-01
7.250000000000000000e+00,2.898082191780821937e+00,1.266438356164383827e-01
7.750000000000000000e+00,2.638904109589041092e+00,1.148630136986301259e-01
8.250000000000000000e+00,2.102876712328767272e+00,7.068493150684931892e-02
8.750000000000000000e+00,1.566849315068493009e+00,5.890410958904109678e-02
9.250000000000000000e+00,1.496164383561643829e+00,5.301369863013698919e-02
9.750000000000000000e+00,1.219315068493150633e+00,4.712328767123287465e-02
1.025000000000000000e+01,9.247945205479451980e-01,4.123287671232876705e-02
1.075000000000000000e+01,6.420547945205479223e-01,3.239726027397260566e-02
1.125000000000000000e+01,5.684246575342465357e-01,2.945205479452054839e-02
1.175000000000000000e+01,4.205753424657533990e-01,2.415068493150685294e-02
1.225000000000000000e+01,2.974657534246575308e-01,2.032191780821917745e-02
1.275000000000000000e+01,2.332602739726027385e-01,1.708219178082192105e-02
1.325000000000000000e+01,1.507945205479452044e-01,1.413698630136986378e-02
1.375000000000000000e+01,1.148630136986301259e-01,1.236986301369863255e-02
1.450000000000000000e+01,9.424657534246574930e-02,1.178082191780821866e-02
1.550000000000000000e+01,4.417808219178082085e-02,8.541095890410960526e-03
