Te,EventRate/day/21.5kt/0.5MeV
5.250000000000000000e+00,4.890178414354775072e+00
5.750000000000000000e+00,4.448108495655541006e+00
6.250000000000000000e+00,3.969331921196832091e+00
6.750000000000000000e+00,3.479993136023896039e+00
7.250000000000000000e+00,3.000663280882414519e+00
7.750000000000000000e+00,2.545483516228983500e+00
8.250000000000000000e+00,2.123602161415015122e+00
8.750000000000000000e+00,1.740720970374762144e+00
9.250000000000000000e+00,1.400111128655004533e+00
9.750000000000000000e+00,1.103214509367655305e+00
1.025000000000000000e+01,8.500101457970911101e-01
1.075000000000000000e+01,6.391357495990683812e-01
1.125000000000000000e+01,4.680534243690879781e-01
1.175000000000000000e+01,3.331567083709320864e-01
1.225000000000000000e+01,2.300410464415507672e-01
1.275000000000000000e+01,1.537522480731904340e-01
1.325000000000000000e+01,9.926459481846779120e-02
1.375000000000000000e+01,6.177036283834333452e-02
1.450000000000000000e+01,2.817832072694467435e-02
1.550000000000000000e+01,8.522495605435904259e-03
