Te_MeV,EventRate_per_day_per_22.5kt_per_bin
3.738775759327168213e+00,1.308987545519627460e+01
4.228571677694515252e+00,1.207836276038126577e+01
4.751020781847895336e+00,1.094130169435461575e+01
5.224489795918366930e+00,9.881425105785387686e+00
5.730611995774872014e+00,8.736548175070172562e+00
6.236735441246811895e+00,7.602088014651966041e+00
6.726531359614159378e+00,6.535342924107762741e+00
7.232653559470662685e+00,5.486252520990715809e+00
7.722449477838010168e+00,4.539004727525947303e+00
8.228571677694517916e+00,3.644464126111348623e+00
8.751020159040178825e+00,2.823306748950831224e+00
9.224489795918367818e+00,2.176622217898795508e+00
9.714285714285715301e+00,1.607345990417378134e+00
1.023673544124681278e+01,1.113506951879251305e+00
1.075918392259247547e+01,7.295641598953783724e-01
1.123265355947066446e+01,4.688629912201909278e-01
1.173877575932716866e+01,2.701048614123995328e-01
1.222857167769451614e+01,1.436790869311248553e-01
1.275102015904018060e+01,6.380028266704175499e-02
1.322448979591836959e+01,2.636335569110925467e-02
1.397550995495854842e+01,1.231983084895024554e-02
1.497142931879783134e+01,2.483835935636796981e-03
1.746938775510204067e+01,1.265486276794276863e-03
