beta,delta_chi2,chi2
0.0,0.0,7.405409094555207
0.005172413793103448,0.10171538323685603,7.507124477792063
0.010344827586206896,0.542372650998967,7.947781745554174
0.015517241379310345,1.6802469432313973,9.085656037786604
0.020689655172413793,3.970217548182166,11.375626642737373
0.02586206896551724,7.807022603451895,15.212431698007101
0.03103448275862069,13.392991634581922,20.79840072913713
0.03620689655172414,20.67063747755031,28.07604657210552
0.041379310344827586,29.332518189033014,36.73792728358822
0.04655172413793103,38.89319963250692,46.29860872706213
0.05172413793103448,48.791759340637356,56.197168435192566
0.056896551724137934,58.491607635190306,65.89701672974552
0.06206896551724138,67.55402878925489,74.9594378838101
0.06724137931034482,75.67590654941843,83.08131564397364
0.07241379310344828,82.69433191021439,90.0997410047696
0.07758620689655173,88.56787941616052,95.97328851071573
0.08275862068965517,93.3460806680508,100.75148976260601
0.08793103448275862,97.13671533577885,104.54212443033406
0.09310344827586206,100.0771098366845,107.48251893123971
0.09827586206896552,102.31229294454705,109.71770203910226
0.10344827586206896,103.98041180354049,111.3858208980957
0.10862068965517241,105.20441480394956,112.60982389850477
0.11379310344827587,106.08845784986687,113.49386694442208
0.11896551724137931,106.71748047029848,114.1228895648537
0.12413793103448276,107.15865660949628,114.56406570405149
0.12931034482758622,107.46376582320421,114.86917491775942
0.13448275862068965,107.67185059071693,115.07725968527214
0.1396551724137931,107.81178091739426,115.21719001194947
0.14482758620689656,107.90453035906837,115.30993945362358
0.15,107.96508730059973,115.37049639515494
